QID,name_x,Unnamed: 2,best_match,name
Q23781052,Dentsply Sirona,,Dentsply Sirona,
Q905998,Sasol,,Sasol,
Q5507690,Fukuoka Financial Group,,Fukuoka Financial Group,
Q7865507,UPL,,UPL,
Q676882,VZ Holding,,VZ Holding,
Q2923022,Boyd Gaming,,Boyd Gaming,
Q7571280,Southwest Gas,,Southwest Gas,
Q822614,Alaska Airlines,,Alaska Airlines,
Q136672,Jyske Bank,,Jyske Bank,
Q5324689,EXL,,WEX,
Q17509919,Clearwater Analytics,,Clearwater Analytics,
Q6715200,MDU Resources,,MDU Resources,
Q25245550,China Gas,,China Gas,
Q104480239,Silergy,,Silergy,
Q1207494,De'Longhi,,De' Longhi,
Q124665205,"Krystal Biotech, Inc.",,Krystal Biotech,
Q2213203,Saipem,,Saipem,
Q20829802,Commercial Bank of Dubai,,Commercial Bank of Dubai,
Q457960,VF Corporation,,VF Corporation,
Q11506946,McDonald's Japan,,McDonald's Japan,
Q11081129,Shin Kong Financial Holding,,Shin Kong Financial Holding,
Q12859164,National Fuel Gas,,National Fuel Gas,
Q13118486,New India Assurance,,New India Assurance,
Q875920,Toho,,Toho Gas,
Q7440621,Sealed Air,,Sealed Air,
Q545579,JAC Motors,,JAC Motors,
Q670100,Sulzer,,Sulzer,
Q4263139,BOC Aviation,,BOC Aviation,
Q20981515,Discovery Limited,,Discovery Limited,
Q4806355,Asia Cement,,Asia Cement,
Q792500,Axiata,,Axalta,
Q6669750,London & Stamford Property,,LondonMetric Property,
Q3785095,Hera Group,,Hera Group,
Q6326486,KB Home,,KB Home,
Q1280748,EchoStar,,EchoStar,
Q25775,Affiliated Managers Group,,Affiliated Managers Group,
Q17562023,NewMarket Corporation,,Lear Corporation,
Q104480308,Merit Medical (United States),,Merit Medical,
Q2913554,Frasers Group,,Frasers Group,
Q20539356,Tritax Big Box REIT,,Tritax Big Box REIT,
Q3316188,Mirvac,,Mirvac Group,
Q1067634,Charoen Pokphand Foods,,Charoen Pokphand Foods,
Q7160600,Pegasystems,,Pegasystems,
Q750124,Cabot Corporation,,Cabot Corporation,
Q2757144,Romgaz,,Romgaz,
Q2335199,Macro Bank,,CM Bank,
Q629269,Macy's,,Macy's,
Q19571615,Emperador,,Emperador Brandy,
Q7796068,Thor Industries,,Thor Industries,
Q921159,RTL Group,,RTL Group,
Q105557,Embraer,,Embraer,
Q689446,Armstrong World Industries,,Armstrong World Industries,
Q11590183,Kobe Bussan,,Kobe Bussan,
Q124733752,Q124733752,,,
Q806607,BankMuscat,,Bank Muscat,
Q3274789,Atlas Arteria,,Atlas Arteria,
Q681316,Strabag,,Strabag,
Q1122965,Swissquote,,Swissquote,
Q912476,Quebecor,,Quebecor,
Q54621598,Parkland Corporation,,Ebara Corporation,
Q821058,Hiscox,,Hiscox,
Q5303699,Doximity,,Doximity,
Q17219597,Tokyu Fudosan Holdings,,Tokyu Fudosan Holdings,
Q23680064,Seek Limited,,Seek Limited,
Q4652383,ALK-Abello,,ALK-Abelló,
Q5426765,FNB Corporation,,F.N.B. Corporation,
Q1654264,IOI Group,,KION Group,
Q643578,Fraport,,Fraport,
Q919646,British Land,,British Land,
Q7562151,Sonoco,,Sonoco,
Q106621124,Zeekr,,Zeekr,
Q2453426,Trina Solar,,Trina Solar,
Q630125,Gedeon Richter Ltd.,,,
Q5424523,FAW Car Company,,Aamal Company,
Q6954477,NKT Holding,,Nu Holdings,
Q113503453,Summit Therapeutics,,Summit Therapeutics,
Q15109910,National Beverage,,National Beverage,
Q2466256,U.S. Cellular,,U.S. Cellular,
Q20191937,Interpump Group,,Interpump Group,
Q8082554,Sisecam,,Şişecam,
Q107185599,Evolution Mining,,Evolution Mining,
Q30272312,FormFactor (United States),,,
Q292374,AGL Energy,,AGL Energy,
Q919300,AeroVironment,,AeroVironment,
Q16966786,PennyMac Loan Services,,Renaissance Services,
Q689750,Voestalpine,,Voestalpine,
Q891797,Bombardier Recreational Products,,Bombardier Recreational Products,
Q60742531,California Resources Corporation,,California Resources Corporation,
Q125341910,Husqvarna,,Husqvarna,
Q28402394,Home BancShares,,Home BancShares,
Q15913812,Taiwan Business Bank,,Taiwan Business Bank,
Q117021902,Enstar Group,,Enstar Group,
Q1939336,Misumi Group,,Lumine Group,
Q4049388,Sunway,,Sunway,
Q5152506,Commercial International Bank,,Commercial International Bank,
Q2852632,UGI Corporation,,UGI Corporation,
Q6715131,MDC Holdings,,MDC Holdings,
Q206277,Copenhagen Airport,,Copenhagen Airport,
Q12339568,Topdanmark,,Topdanmark,
Q5412010,Euronet Worldwide,,Euronet Worldwide,
Q24259,Kuala Lumpur Kepong Berhad,,Kuala Lumpur Kepong,
Q940421,General American Transportation Corporation,,Central Retail Corporation,
Q7280290,Radian Group,,Radian Group,
Q5048636,FirstCash,,FirstCash,
Q994153,Brunswick Corporation,,Brunswick Corporation,
Q920000,SCOR SE,,STEICO SE,
Q1142823,Empresas CMPC,,Empresas CMPC,
Q326345,Public Power Corporation SA,,Public Power Corporation,
Q3633705,Banca Generali Private,,Banca Generali,
Q4672868,R1 RCM,,R1 RCM,
Q6869102,Minor International,,Minor International,
Q2998228,Cosan,,Cosan,
Q185339,Air Canada,,Air Canada,
Q1781308,Konecranes,,Konecranes,
Q65180652,Rovi,,Zovio,
Q5987232,Idacorp,,Idacorp,
Q106238343,BridgeBio,,BridgeBio Pharma,
Q450100,Ashland,,Ashland,
Q2283407,Siegfried Holding AG,,Siegfried Holding,
Q22907757,Dexus,,Dexus,
Q2729871,Efes Beverage Group,,Efes Beverage Group,
Q2909088,Boise Cascade,,Boise Cascade,
Q11524212,Tokyo Century Corporation,,Venture Corporation,
Q5462295,Flowers Foods,,Flowers Foods,
Q7427161,Saudi Research and Media Group,,Saudi Research and Media Group,
Q4829076,Avnet,,Avnet,
Q4830196,Axcelis Technologies,,Axcelis Technologies,
Q20708654,Bank OZK,,Bank OZK,
Q19730939,Plains GP Holdings,,Maiden Holdings,
Q3674725,Xinyi Glass,,Xinyi Glass Holdings,
Q51756,China Airlines,,China Airlines,
Q7449144,Seatrium,,Seatrium,
